Method,Model,Accuracy,Precision,Recall,F1
rfe,ANN,0.817283950617284,0.8170669488620088,0.817283950617284,0.8164251078029746
rfe,CNN,0.8148148148148148,0.819800349319968,0.8148148148148148,0.8160691613868952
skb,ANN,0.8123456790123457,0.8106315804393229,0.8123456790123457,0.8108835771936238
skb,CNN,0.8,0.8029049102315818,0.8,0.8001652412073922
fscs,ANN,0.7851851851851852,0.7841443564621581,0.7851851851851852,0.7833111764393127
fscs,CNN,0.8074074074074075,0.8084227979618316,0.8074074074074075,0.8064432876468887
etc,ANN,0.7925925925925926,0.7929722116829405,0.7925925925925926,0.7895975573738303
etc,CNN,0.8,0.8023684167428012,0.8,0.7990293021773207
pc,ANN,0.7728395061728395,0.787567736339265,0.7728395061728395,0.7657800694354456
pc,CNN,0.7901234567901234,0.7963270102372311,0.7901234567901234,0.7917005332508819
mi,ANN,0.7950617283950617,0.7947247910822388,0.7950617283950617,0.793791385433399
mi,CNN,0.8098765432098766,0.8139678581844807,0.8098765432098766,0.8107651333335132
mir,ANN,0.7975308641975308,0.8003153607121862,0.7975308641975308,0.7957677114597194
mir,CNN,0.8296296296296296,0.8303169794939547,0.8296296296296296,0.8296859774084125
mu,ANN,0.7753086419753087,0.7778046281685008,0.7753086419753087,0.7730922186309828
mu,CNN,0.7802469135802469,0.7954595904114911,0.7802469135802469,0.7824452105333545
vt,ANN,0.8098765432098766,0.8142842316000211,0.8098765432098766,0.8085420308808143
vt,CNN,0.7950617283950617,0.8013429053813642,0.7950617283950617,0.7947498225733197
